#Label,Order,sizeWiki,ColArea,X,Y,E0
HRV,,6018,11.06758464,16.41178,45.051162,Europe
SVK,,5834,6.732054961,19.491652,48.70753,Europe
TUR,,5424,0.87864674,35.179672,39.060595,Asia
HUN,,4931,3.455284301,19.413449,47.166502,Europe
NZL,,4545,6.138768228,171.779899,-41.838873,Oceania
ZAF,,4369,4.294364333,25.092539,-28.99853,Africa
IRL,,4168,6.181487244,-8.15058,53.176379,Europe
ISR,,4040,4.750432201,34.965856,31.358529,Asia
Nepal,,3762,31.02687592,83.938547,28.253007,Asia
PAK,,3313,0.737003433,69.385965,29.967022,Asia
Iran,,3096,0.553978512,54.197765,32.739463,Asia
TLS,,3076,0,125.85367,-8.822978,Asia
PHL,,2910,2.131724406,122.878708,11.741833,Asia
IDN,,2644,0.604517321,117.300426,-2.230213,Asia
Chile,,2610,1.968641368,-71.373979,-37.852488,South America
MDG,,2530,32.93941096,46.706039,-19.373383,Africa
THA,,2444,0.624733981,101.017361,15.127035,Asia
Kenya,,2369,2.902040683,37.857881,0.529861,Africa
BLR,,2165,2.867810358,28.046787,53.539997,Europe
Cuba,,2155,6.116445011,-79.036352,21.62117,North America
MMR,,2126,80.37753466,96.50692,21.154318,Asia
COL,,2110,0.501086055,-73.073368,3.901155,South America
BGD,,1966,14.55219566,90.268498,23.843231,Asia
MDA,,1927,9.330020378,28.47393,47.19387,Europe
BOL,,1917,7.513678654,-64.670931,-16.71461,South America
ARM,,1854,39.94810345,44.947393,40.2862,Asia
ETH,,1790,20.4630485,39.616032,8.626219,Africa
Egypt,,1604,0.486349505,29.871958,26.494254,Africa
BFA,,1471,43.24186737,-1.74014,12.277929,Africa
MON,,1465,20.50737616,19.253238,42.791324,Europe
KOR,,1420,0.158644088,127.834772,36.375089,Asia
DZA,,1371,1.376174168,2.632388,28.163239,Africa
AFG,,1370,11.27639723,66.02647,33.838805,Asia
VNM,,1310,0.258772689,106.301473,16.659257,Asia
NGA,,1303,0.22360175,8.105306,9.59396,Africa
Mali,,1262,25.96863741,-3.524422,17.350279,Africa
MYS,,1259,0.343729671,109.708191,3.792367,Asia
KAZ,,1234,2.975099137,66.657823,48.015985,Asia
PRI,,1212,4.987953811,-66.46234,18.221329,North America
LKA,,1204,4.258749958,80.704727,7.608085,Asia
ISR,,1144,0,35.256418,31.946636,Europe
Peru,,1104,0.637382277,-74.375627,-9.16376,South America
LVA,,1019,3.061965126,24.929425,56.857535,Europe
ALB,,1015,5.56960739,20.068384,41.142286,Europe
ISL,,978,14.08915354,-18.605467,64.997588,Europe
LUX,,947,10.06971775,6.087813,49.770628,Europe
GTM,,942,1.977946929,-90.356243,15.702133,North America
MAR,,937,0.369279396,-6.317846,31.883624,Africa
UGA,,932,1.534248499,32.386217,1.279963,Africa
Syria,,906,1.045895915,38.505131,35.013133,Asia
GEO,,868,3.488506784,43.517447,42.176311,Asia
GRL,,866,99,-41.389501,74.720918,North America
ARE,,857,1.207036529,54.335155,23.910933,Asia
KGZ,,853,4.129998641,74.555596,41.465054,Asia
TKM,,850,46.64203233,58.391314,39.218792,Asia
SGP,,835,1.019709295,103.808051,1.351616,Asia
VEN,,778,0.446723987,-66.169563,7.122448,South America
MKD,,776,3.766317377,21.697476,41.599682,Europe
Iraq,,763,10.46702079,43.772134,33.048025,Asia
CYP,,756,9.303341591,33.22176,35.04588,Asia
GIN,,745,34.0669746,-10.941772,10.438212,Africa
CRI,,726,2.046461451,-84.187941,9.970202,North America
PNG,,708,24.2812933,145.241217,-6.478766,Oceania
Togo,,700,8.230946882,0.975721,8.53496,Africa
URY,,698,2.143731688,-56.012396,-32.799645,South America
CIV,,695,4.333718245,-5.555619,7.631533,Africa
Yemen,,682,7.585818613,47.599967,15.905618,Asia
ZAR,,673,0,23.655005,-2.876234,Africa
MOZ,,672,7.901709007,35.552199,-17.260054,Africa
NAM,,667,24.18520516,17.218277,-22.133248,Africa
MNG,,662,8.255889145,103.083217,46.83529,Asia
TUN,,650,0.955377763,9.561335,34.11086,Africa
Sudan,,634,0.621240515,30.049951,13.831534,Africa
FRO,,633,0,-6.884108,62.031063,Europe
AGO,,622,4.654226328,17.544675,-12.295285,Africa
ECU,,621,0.658348533,-78.767072,-1.42742,South America
LBN,,603,2.626064005,35.888026,33.920265,Asia
Ghana,,594,2.451947065,-1.207301,7.959847,Africa
TZA,,574,4.542849529,34.823453,-6.270353,Africa
KHM,,546,30.36552025,104.923981,12.716431,Asia
SAU,,517,0.274125977,44.546245,24.123,Asia
JAM,,509,1.360244144,-77.319012,18.151419,North America
Niger,,502,0.01998334,9.397647,17.426149,Africa
